Tanggal,Tweet Id,Teks,Username
2022-06-30 08:08:27+00:00,1542419784159330304,"@UlfaNafisah1 Mohon maaf untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Terima kasih - Ninik",pln_123
2022-06-30 08:06:05+00:00,1542419185485369344,"@Owlm4ns Mohon maaf untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Terima kasih - Ninik",pln_123
2022-06-30 08:04:17+00:00,1542418732831879169,"@azeezy84 Hi Kak Aze, Mhn maaf atas gangguannya. Padam di Wilayah  Salam, Magelang akibat adanya pemeliharaan komponen gardu dan saat ini masih penanganan. Mohon berkenan menunggu perbaikannya.  Agar semua makin mudah,  ayo download aplikasi New PLN Mobile, Tks -Yanti",pln_123
2022-06-30 08:01:55+00:00,1542418136485732352,"@_HarRam Baik Kak,Mohon maaf atas gangguan yang terjadi terkait no laporan G5422063005938 sebelumnya terjadi pemeliharaan jaringan dan saat ini telah normal kembali ya kak. Agar semua makin mudah,  ayo download aplikasi New PLN Mobile, Tks -Yanti",pln_123
2022-06-30 08:01:44+00:00,1542418089949949953,"@ruangkata3 Mohon maaf untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Terima kasih - Ninik",pln_123
2022-06-30 07:59:16+00:00,1542417472057638912,"@luthfiarhmdn Mohon maaf untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Terima kasih - Ninik",pln_123
2022-06-30 07:56:50+00:00,1542416856845545473,"@Dwikodarmawan   Hai Kak Dwi, mohon maaf atas kendala yang dialami. Terkait kendalanya, Kakak bs lapor melalui aplikasi PLN Mobile di menu Pengaduan atau Kakak jg bisa infokan detailnya melalui DM ya kak. Admin menunggu konfirmasi lebih lanjut. Tks. -Monica",pln_123
2022-06-30 07:52:22+00:00,1542415734844047360,"@mohekanwar mohon melunasi tagihan rekening listrik sebelum jatuh tempo tanggal 20 pada setiap bulan.

Agar semua makin mudah, ayo download aplikasi New PLN Mobile di Play Store atau Apps Store.

Trims. -Monica",pln_123
2022-06-30 07:38:30+00:00,1542412243274715136,@boyack_   Hai Kak mohon maaf atas kendala listrik yang dialami. Kakak bs lapor melalui aplikasi PLN Mobile di menu Pengaduan atau Kakak jg bisa infokan detailnya melalui DM ya Kak. Admin menunggu konfirmasi lebih lanjut. Tks. -Monica,pln_123
2022-06-30 07:30:16+00:00,1542410174413312000,"@ddkstd    Halo Kak, untuk perihal tersebut Kakak bs lapor melalui aplikasi PLN Mobile di menu Pengaduan atau Kakak jg bisa infokan detailnya  melalui DM ya kak. Admin menunggu konfirmasi lebih lanjut.

Tks. -Monica",pln_123
2022-06-30 07:29:51+00:00,1542410069564080128,"@ddkstd   Halo Kak, untuk perihal tersebut Kakak bs lapor melalui aplikasi PLN Mobile di menu Pengaduan atau Kakak jg bisa infokan detailnya  melalui DM ya kak. Admin/Mimin menunggu konfirmasi lebih lanjut. Tks. -Monica",pln_123
2022-06-30 07:25:10+00:00,1542408887911215104,"@Kurnia_SS_51   Hai Kak, mohon maaf atas kendala yang dialami. Terkait kendalanya, Kakak bs lapor melalui aplikasi PLN Mobile di menu Pengaduan atau Kakak jg bisa infokan detailnya melalui DM ya Kak.

Admin menunggu konfirmasi lebih lanjut. Tks -Monica",pln_123
2022-06-30 06:55:30+00:00,1542401423656513536,"@azaqmr untuk laporan sering padam tsb  Kakak bs lapor melalui aplikasi PLN Mobile di menu Pengaduan atau Kakak jg bisa infokan detailnya  melalui DM ya Kak.

Admin menunggu konfirmasi selanjutnya ya.

Terima kasih. -Monica",pln_123
2022-06-30 06:50:02+00:00,1542400049875136512,"@reraguna   Hai Kak, mohon maaf atas kendala yang dialami. Terkait kendalanya, Kakak bs lapor melalui aplikasi PLN Mobile di menu Pengaduan atau Kakak jg bisa infokan detailnya melalui DM ya Kak.

Admin menunggu konfirmasi lebih lanjut. Tks -Monica",pln_123
2022-06-30 06:47:03+00:00,1542399297505067009,"@shawtyy87137220 Agar semua makin mudah, ayo download aplikasi New PLN Mobile di Play Store atau Apps Store.

Trims. -Monica",pln_123
2022-06-30 06:46:53+00:00,1542399256333795328,"@shawtyy87137220   Hi Kak, admin informasikan, PLN menghadirkan 2 Promo Tambah Daya melalui aplikasi PLN Mobile yaitu Electrinet Lifestyle dan Tambah Daya Nyaman kompor Induksi. (Syarat &amp; Ketentuan Berlaku) ya Kak.",pln_123
